ID,예민함정도,의견수용,말수,시간약속,리더십,체력,청결민감도,여행일정강도,국내or해외,산or바다,계획or즉흥,랜드마크,코골이,웨이팅,여행희망지역,싫어하는기후,여행목적,숙소유형,기상시간,여행예산,profile,rec_ids
1,보통,매우 수용적,많다,자주 늦음,따르는 편,4,꽤 민감,매우 여유있게,해외,산,즉흥 여행,무조건 다 봄,코골이 함,기다림,"세계일주,유럽,국내","더움,추움,건조함","액티비티,기록,미식","게스트하우스,펜션,4-5성급호텔",오전 9-10시,200-300만원,"이 사용자는 세계일주 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 미식이며, 펜션에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
2,둔감,다소 완고,매우 적다,매우 정확,따르는 편,5,둔감,꽤 여유있게,해외,바다,계획 여행,적당히 봄,코골이 안함,기다림,"미국,그 외,일본","더움,추움,상관없음","공연&경기관람,문화&역사체험,기록","3성이하 호텔,4-5성급호텔,민박",오전 9-10시,200-300만원,"이 사용자는 미국 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
3,보통,매우 수용적,많다,자주 늦음,무조건 리드,5,꽤 민감,보통,국내,바다,즉흥 여행,무조건 다 봄,코골이 안함,기다림,"그 외,미국,국내","상관없음,습함,건조함","도전과성장,미식,자연감상","4-5성급호텔,콘도,3성이하 호텔",오전 10시 이후,400만원 이상,"이 사용자는 미국 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 콘도에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
4,매우 둔감,다소 완고,적다,매우 정확,보통,3,꽤 민감,매우 빡빡하게,해외,산,즉흥 여행,적당히 봄,코골이 안함,다른 곳 간다,"미국,세계일주,국내","추움,상관없음,건조함","사람&관계,기록,도전과성장","상관없음,4-5성급호텔,콘도",오전 8-9시,100만원 이하,"이 사용자는 세계일주 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 상관없음에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
5,보통,매우 수용적,적다,종종 늦음,무조건 따름,2,꽤 민감,꽤 여유있게,해외,바다,즉흥 여행,적당히 봄,코골이 함,기다림,"동남아,유럽,중국&몽골","건조함,추움,쌀쌀함","자연감상,문화&역사체험,도전과성장","에어비엔비,상관없음,콘도",오전 8-9시,100만원 이하,"이 사용자는 유럽 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 콘도에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
6,꽤 민감,다소 완고,보통,종종 늦음,리드하는편,2,매우 민감,꽤 빡빡하게,국내,바다,계획 여행,적당히 봄,코골이 함,다른 곳 간다,"중국&몽골,국내,일본","상관없음,습함,쌀쌀함","자연감상,문화&역사체험,휴식","상관없음,4-5성급호텔,게스트하우스",오전 10시 이후,400만원 이상,"이 사용자는 중국&몽골 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
7,보통,매우 수용적,많다,자주 늦음,무조건 리드,5,매우 둔감,꽤 빡빡하게,국내,바다,즉흥 여행,무조건 다 봄,코골이 함,다른 곳 간다,"동남아,국내,세계일주","쌀쌀함,건조함,상관없음","공연&경기관람,미식,기록","민박,펜션,4-5성급호텔",오전 10시 이후,200-300만원,"이 사용자는 국내 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 공연&경기관람이며, 민박에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
8,꽤 민감,보통,매우 적다,꽤 정확,무조건 따름,4,꽤 민감,매우 여유있게,해외,산,계획 여행,적당히 봄,코골이 함,기다림,"미국,세계일주,동남아","습함,더움,건조함","사람&관계,미식,공연&경기관람","상관없음,4-5성급호텔,에어비엔비",오전 10시 이후,200-300만원,"이 사용자는 미국 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 미식이며, 에어비엔비에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
9,매우 둔감,보통,많다,종종 늦음,무조건 리드,5,매우 둔감,매우 여유있게,국내,바다,계획 여행,적당히 봄,코골이 함,다른 곳 간다,"국내,동남아,일본","건조함,습함,더움","액티비티,도전과성장,쇼핑","펜션,상관없음,에어비엔비",오전 9-10시,200-300만원,"이 사용자는 일본 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 펜션에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
10,보통,다소 완고,매우 많다,꽤 정확,무조건 리드,5,보통,매우 빡빡하게,국내,바다,계획 여행,무조건 다 봄,코골이 함,기다림,"중국&몽골,유럽,국내","건조함,더움,추움","기록,문화&역사체험,도전과성장","게스트하우스,콘도,상관없음",오전 9-10시,200-300만원,"이 사용자는 국내 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 콘도에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
